supplier_id,name,contact_info,country
75,SAIL Bokaro Steel Plant,sailbokarosteelplant@company.com,Chile
76,Ramky Infrastructure,ramkyinfrastructure@company.com,Brazil
77,Unitech Power Transmissi...,unitechpowertransmissi@company.com,Nigeria
78,Deepak Fasteners,deepakfasteners@company.com,Argentina
79,Aristocrat Technologies,aristocrattechnologies@company.com,Italy
80,Elite Engineering And Co...,eliteengineeringandco@company.com,Egypt
81,Sasol,sasol@company.com,United States
82,Tenpath,tenpath@company.com,United States
83,DM Wayanad Institute of ...,dmwayanadinstituteof@company.com,Argentina
84,Services & Trade Co. LLC,servicestradecollc@company.com,South Africa
85,Mahindra Trucks & Buses,mahindratrucksbuses@company.com,Egypt
86,Wipro BPS,wiprobps@company.com,Argentina
87,Shri Rathi Steel,shrirathisteel@company.com,South Korea
88,Kirloskar Ferrous Indust...,kirloskarferrousindust@company.com,Poland
89,Systems Plus,systemsplus@company.com,Sweden
90,Myk Laticrete,myklaticrete@company.com,United Kingdom
91,Care IT Solutions,careitsolutions@company.com,Italy
92,PHD Chamber of Commerce ...,phdchamberofcommerce@company.com,Spain
93,Precot Meridian,precotmeridian@company.com,Netherlands
94,Ritu Kumar,ritukumar@company.com,South Africa
95,String Real Estate Infor...,stringrealestateinfor@company.com,Sweden
96,ValueLabs,valuelabs@company.com,Egypt
97,Manya Education,manyaeducation@company.com,France
98,St Regis,stregis@company.com,United States
99,Vydehi Institute Of Medi...,vydehiinstituteofmedi@company.com,Japan
100,R.V.R. PROJECTS,rvrprojects@company.com,Norway
